date,strategy_return,market_return,equity_curve
2026-02-05,0.006652603586908334,-0.00434181389921981,1.0066526035869083
2026-02-06,0.011607398828831883,0.00593357263480572,1.0183372218388236
2026-02-09,0.006934764501063673,-0.0045616582666859334,1.0253991506549431
2026-02-10,-0.004347072445236411,-0.0004928748338171585,1.0209416662617623
2026-02-11,0.015512687835224748,0.014159698753965291,1.0367792156284552
2026-02-12,0.014708560491251021,0.009820648738622942,1.052028745437598
2026-02-13,0.018370193268751667,0.002250780286894946,1.071354716815569
2026-02-16,0.012288834011204619,0.011653077737239545,1.0845204170976368
2026-02-17,0.015206765161759228,-0.002055519369199052,1.101012464393574
2026-02-18,0.01946101070996542,0.010314143215766791,1.1224392797549427
2026-02-19,-0.00811274379216742,0.0027544341734117433,1.113333217456026
2026-02-20,0.008507682242622439,-0.0037379233811063034,1.1228051027002983
2026-02-23,0.015389334465400473,0.006295118347202755,1.1400843259652116
2026-02-24,0.011325747294066879,0.0055760085406269255,1.15299663293502
2026-02-25,0.014345756638343032,0.006753465799350905,1.169537242035935
2026-02-26,-0.0010078352476962094,-0.0028084115308337904,1.1683585411799178
2026-02-27,-0.015577741763301067,0.004928529897156475,1.15015815353847
2026-03-02,0.008479829278013273,0.012091409930388292,1.1599112983231912
2026-03-03,0.02448115976467935,0.0041943384810426,1.188307272130298
2026-03-04,0.003079059180436494,-0.00742435217596682,1.1919661405457305
